Tube Line,From Station,To Station,Weight,Rev_Weight
Hammersmith and City,Barbican,Moorgate,1.5,2
Hammersmith and City,Westbourne Park,Royal Oak,2,1.5
Hammersmith and City,Paddington,Edgware Road (Circle/District/Hammersmith and City),2,3
Hammersmith and City,Edgware Road (Circle/District/Hammersmith and City),Baker Street,2.5,2.5
Hammersmith and City,Baker Street,Great Portland Street,2,2
Hammersmith and City,Great Portland Street,Euston Square,1.5,1.5
Hammersmith and City,Euston Square,Kings Cross St. Pancras,2,2
Hammersmith and City,Kings Cross St. Pancras,Farringdon,3.5,3.5
Hammersmith and City,Farringdon,Barbican,1.5,1.5
Hammersmith and City,East Ham,Barking,3.5,3.5
Jubilee,Stanmore,Canons Park,2,2.25
Jubilee,Canada Water,Canary Wharf,2.5,2.5
Jubilee,West Hampstead,Finchley Road,1.5,1.5
Jubilee,Kilburn,West Hampstead,1.75,2
Jubilee,Willesden Green,Kilburn,2.25,1.75
Jubilee,Dollis Hill,Willesden Green,1.75,2.25
Jubilee,Neasden,Dollis Hill,1.75,1.5
Jubilee,Wembley Park,Neasden,3,2.5
Jubilee,Kingsbury,Wembley Park,3.5,4
Jubilee,Queensbury,Kingsbury,2,1.75
Jubilee,Canons Park,Queensbury,2.25,2
Jubilee,Bermondsey,Canada Water,1.75,1.75
Jubilee,Swiss Cottage,St. Johns Wood,1.75,1.75
Jubilee,St. Johns Wood,Baker Street,2.75,2.75
Jubilee,Finchley Road,Swiss Cottage,1.75,1.25
Jubilee,Canary Wharf,North Greenwich,2,2.25
Jubilee,North Greenwich,Canning Town,2.5,2.5
Jubilee,Canning Town,West Ham,2,2.25
Jubilee,West Ham,Stratford,2.75,3.25
Jubilee,London Bridge,Bermondsey,2.25,2.25
Jubilee,Southwark,London Bridge,1.75,1.75
Jubilee,Waterloo,Southwark,1.25,1.25
Jubilee,Westminster,Waterloo,1.75,1.5
Jubilee,Green Park,Westminster,2,2.25
Jubilee,Bond Street,Green Park,2,2
Jubilee,Baker Street,Bond Street,2.25,2.5
Metropolitan,Great Portland Street,Baker Street
Metropolitan,Ruislip,Ickenham
Metropolitan,Aldgate,Liverpool Street
Metropolitan,Liverpool Street,Moorgate
Metropolitan,Moorgate,Barbican
Metropolitan,Ickenham,Hillingdon
Metropolitan,Ruislip Manor,Ruislip
Metropolitan,Eastcote,Ruislip Manor
Metropolitan,West Harrow,Eastcote
Metropolitan,Harrow-on-the-Hill,West Harrow
Metropolitan,Farringdon,Kings Cross St. Pancras
Metropolitan,Northwick Park,Harrow-on-the-Hill
Metropolitan,Preston Road,Northwick Park
Metropolitan,Wembley Park,Preston Road
Metropolitan,Finchley Road,Wembley Park
Metropolitan,Baker Street,Finchley Road
Metropolitan,Euston Square,Great Portland Street
Metropolitan,Hillingdon,Uxbridge
Metropolitan,Harrow-on-the-Hill,North Harrow
Metropolitan,North Harrow,Pinner
Metropolitan,Barbican,Farringdon
Metropolitan,Chalfont And Latimer,Amersham
Metropolitan,Chalfont And Latimer,Chesham
Metropolitan,Chorleywood,Chalfont And Latimer
Metropolitan,Rickmansworth,Chorleywood
Metropolitan,Moor Park,Rickmansworth
Metropolitan,Kings Cross St. Pancras,Euston Square
Metropolitan,Croxley,Watford
Metropolitan,Pinner,Northwood Hills
Metropolitan,Moor Park,Croxley
Metropolitan,Northwood Hills,Moor Park
Northern,Clapham Common,Clapham North
Northern,Clapham North,Stockwell
Northern,Stockwell,Oval
Northern,Goodge Street,Warren Street
Northern,Oval,Kennington
Northern,Clapham South,Clapham Common
Northern,Tooting Bec,Balham
Northern,Tooting Broadway,Tooting Bec
Northern,Colliers Wood,Tooting Broadway
Northern,South Wimbledon,Colliers Wood
Northern,Morden,South Wimbledon
Northern,Tufnell Park,Archway
Northern,Totteridge And Whetstone,High Barnet
Northern,Kennington,Elephant And Castle
Northern,Camden Town,Chalk Farm
Northern,Chalk Farm,Belsize Park
Northern,Belsize Park,Hampstead
Northern,Hampstead,Golders Green
Northern,Brent Cross,Hendon Central
Northern,Colindale,Burnt Oak
Northern,Burnt Oak,Edgware
Northern,Camden Town,Kentish Town
Northern,Kentish Town,Tufnell Park
Northern,Archway,Highgate
Northern,Highgate,East Finchley
Northern,East Finchley,Mill Hill East
Northern,East Finchley,Finchley Central
Northern,Finchley Central,West Finchley
Northern,West Finchley,Woodside Park
Northern,Euston,Camden Town
Northern,Mornington Crescent,Camden Town
Northern,Euston,Mornington Crescent
Northern,Elephant And Castle,Borough
Northern,Borough,London Bridge
Northern,London Bridge,Bank
Northern,Bank,Moorgate
Northern,Moorgate,Old Street
Northern,Old Street,Angel
Northern,Angel,Kings Cross St. Pancras
Northern,Kings Cross St. Pancras,Euston
Northern,Kennington,Waterloo
Northern,Waterloo,Embankment
Northern,Embankment,Charing Cross
Northern,Charing Cross,Leicester Square
Northern,Leicester Square,Tottenham Court Road
Northern,Tottenham Court Road,Goodge Street
Northern,Warren Street,Euston
Northern,Woodside Park,Totteridge And Whetstone
Northern,Balham,Clapham South
Northern,Hendon Central,Colindale
Northern,Golders Green,Brent Cross
Overground,Surrey Quays,New Cross Gate
Overground,New Cross Gate,Brockley
Overground,Brockley,Honor Oak Park
Overground,Willesden Junction,Kensal Rise
Overground,Honor Oak Park,Forest Hill
Overground,Queens Park,Kilburn High Road
Overground,Forest Hill,Sydenham
Overground,Surrey Quays,New Cross
Overground,Canada Water,Surrey Quays
Overground,Rotherhithe,Canada Water
Overground,Wapping,Rotherhithe
Overground,Shadwell,Wapping
Overground,Whitechapel,Shadwell
Overground,Shoreditch High Street,Whitechapel
Overground,Hoxton,Shoreditch High Street
Overground,Haggerston,Hoxton
Overground,Dalston Junction,Haggerston
Overground,South Kenton,North Wembley
Overground,Penge West,Anerley
Overground,North Wembley,Wembley Central
Overground,Wembley Central,Stonebridge Park
Overground,Stonebridge Park,Harlesden
Overground,Harlesden,Willesden Junction
Overground,Willesden Junction,Kensal Green
Overground,Kensal Green,Queens Park
Overground,Wandsworth Road,Clapham Junction
Overground,Clapham High Street,Wandsworth Road
Overground,Sydenham,Penge West
Overground,Denmark Hill,Clapham High Street
Overground,Peckham Rye,Denmark Hill
Overground,Queens Road Peckham,Peckham Rye
Overground,Surrey Quays,Queens Road Peckham
Overground,Sydenham,Crystal Palace
Overground,Norwood Junction,West Croydon
Overground,Anerley,Norwood Junction
Overground,Canonbury,Dalston Junction
Overground,Highbury and Islington,Canonbury
Overground,Woodgrange Park,Barking
Overground,Caledonian Road and Barnsbury,Highbury and Islington
Overground,Camden Road,Caledonian Road and Barnsbury
Overground,Kentish Town West,Camden Road
Overground,Gospel Oak,Kentish Town West
Overground,Hampstead Heath,Gospel Oak
Overground,Finchley Road and Frognal,Hampstead Heath
Overground,West Hampstead,Finchley Road and Frognal
Overground,Brondesbury,West Hampstead
Overground,Brondesbury Park,Brondesbury
Overground,Kensal Rise,Brondesbury Park
Overground,Gospel Oak,Upper Holloway
Overground,Acton Central,Willesden Junction
Overground,South Acton,Acton Central
Overground,Gunnersbury,South Acton
Overground,Kew Gardens,Gunnersbury
Overground,Richmond,Kew Gardens
Overground,Canonbury,Dalston Kingsland
Overground,Dalston Kingsland,Hackney Central
